original_text,hashtags,class_value
"A deck garden tractor has been stolen from an
outbuilding in the Midhurst Road area of Petersfield on the 15/01. A https://t.co/oe5UXvNqv5",Petersfield,2
"JoeConchaTV Yeah, she is! fraud 
https://t.co/CjjnUwjPyl",fraud,5
wwp_en: Crucial CallToAction for ukhomeoffice to improve domesticabuse response in England &amp; Wales! Including PerapetratorStrategy,"CallToAction, domesticabuse, England, Wales, PerapetratorStrategy",3
"$100k grant to a cricket club that no longer exists.. that's fraud.
sportsrorts auspol corruption https://t.co/dYKeyOambS","fraud, sportsrorts, auspol, corruption",5
"londonlarge: Blood on the Streets: first of the hard-boiled, heart-stopping Harry Hawkins crime thrillers.
Amazon UK: 4.4 average fro","crime, thrillers",4
"OhLadyMania: Seven-year-old Hooz Noor raped and murdered. RIP 
The need of the hour is to hang rapists; this is the only punishment t�","RIP, rapists",1
mercedcollegementlhelth mentlhelthwreness trum rape discrimintion bullying nytrumcncuseit let' https://t.co/CsKX1X9K9u,"mercedcollegementalhealth, mentalhealthawareness, trauma, rape, discrimination, bullying, anytraumacancauseit",1
BernieSanders &amp; the BabyKilling clowns who believe your BS - SocialismKills &amp; RoeVWade is murder! Same for https://t.co/dnLnpiaPtU,"BabyKilling, SocialismKills, RoeVWade, murder",4
CatPurry9: The Church of England issues an edict that only married heterosexual couples are permitted to have sex. Does this mean that,Church,3
DerrickRBickley: A dark tale of seduction blackmail and murder THE HIT-AND-RUN MAN https://t.co/oBRzIvA4ty on Kindle FREE to read a,"seduction, blackmail, murder, Kindle",4
Police: Shooter surrenders in Little Rock homicide; no charges yet filed in death - Jan 23  2:59 PM ET https://t.co/FEVlSVR2zG,"Police, Little, homicide, death",5
thedogfinder: � �1.6m puppy fraud vet gets second suspended sentence puppy fraud vet puppyfarm Hillingdon Uxbridge vettimes � -,"puppy, fraud, vet, puppyfarm, Hillingdon, Uxbridge, vettimes",5
vikantsahay: Would you IJaising take responsibility of all these Nirbhaya rapists and ensure that they will never repeat this heniou,"Nirbhaya, rapists",1
"inditvnews: Jiled on rape chrge, BSP leder gets 2-dy prole to tke oth s MP | vi inditvnews 
BSP MP rape
https://t.co/REm�","BSP, MP, rape",1
WMerciaPolice: We are appealing for the public's help in identifying and locating these two women. We believe they can help in an inv,appealing,2
Cumberlnd mn chrged in 30-yer-old rape cse - Jn 24  4:30 PM ET https://t.co/7xcBrXs2,"rape, case",1
SolaceWomensAid: We have signed the CallToAction for a PerapetratorStrategy. There is an urgent need for a perapetrator strategy to res,"CallToAction, PerapetratorStrategy",3
"This why I don't have friends SMITE yemoja Assault PS4share

https://t.co/Nd8cPA8NQS https://t.co/WCv3aXUZiK","SMITE, yemoja, Assault, PS4share",3
"stopmymurder: 2020 Boston�s Jewish Murder For Hire Plot Public And Families Asked To Help With Arrests
By LarryYudowitz
Download Now","Murder, LarryYudowitz",4
BusyDrT: My interview with Jeff Berwick on the Dirty Vaccine Industry &amp; all its moving parts.  https://t.co/sTmna3iyFD herdimmunity i,herdimmunity,5
"Yet..
TO REDRESS THE UNITED STTES���ORIGINL SIN�
SLVERY rape SODOYMN LYNCHING TROCITIES BLCKCODES KKK� https://t.co/Z8rErgq1Ty","SLAVERY, RAPE, SODOYMN, LYNCHING, ATROCITIES, BLACKCODES, KKK",1
"NYC Ignored Detainer On Illegal Alien Charged With Murder https://t.co/fmIgGvUxG3
Democrats Deportation ICE https://t.co/EwQGVOKyNR","Democrats, Deportation, ICE",4
Poppadum wrists at it again abuse,abuse,3
"rape 
Forced_Detentions
HumnRightsVioltions
Killings of innocent people.
Brech of InterntionlLw 
Brech� https://t.co/fLu6USLs","Rape, Forced_Detentions, HumanRightsViolations, Killings, InternationalLaw, Breach",1
"fmtoday: Disgraced movie moghul depicted as 140kg bully who violently raped, humiliated, manipulated several women. FMTNews Rape http�","FMTNews, Rape",1
"BooksByJJHughes: BOLO 
Very excited about the upcoming
SPIRITOFPROPHECY Blog tour 
Keep an eye out for it - next week 
murder/myster","BOLO, SPIRITOFPROPHECY, murder",4
Becuse of tht discussion I ws hving bout YesmensYes nd enthusisticconsent with tht mr guy who blocked https://t.co/7jcveVYGRw,"YesmeansYes, enthusiasticconsent, mra",1
Man charged in Livingston County triple homicide pleads not guilty - Jan 23  3:34 PM ET https://t.co/l1XxymfKXN,"Livingston, homicide, guilty",5
Leesville man arrested for domestic assault ,assault,3
"EricYenyiv: A short but useful extra insight into the Thunberg scam.

ClimateHoax 
MoneyScam
Fraud","ClimateHoax, MoneyScam, Fraud, drugcrime, financialcrime ",5
"AnimaSonkar: Previously BDUTT justified pelting of stones on Kashmir as an alternative to unemployment,
Now we have her clan ArvindK","Kashmir, theft, robbery ",2
An excellent thread that clearly and accurately describes some of the many reasons why domesticabuse victims don't https://t.co/cCKtvTMYDb,domesticabuse,3
"orca_waves: WoofWoofWednesday
Report accounts OpBeast Abuse etc Twitter

&gt;&gt;https://t.co/lrUfgIsuzc
or
Tag and or DM An0nOpBeast
A","WoofWoofWednesday, OpBeast, Abuse, Twitter",3
astormdale: atrupar voxrob KenStarr was the one fired from his job at Baylor for covering up the rape of students by football sta,"KenStarr, rape, football",1
Remind me how many $$$millions you�ve made from the climate change hoax? Or should I say $$$billions? fraud https://t.co/5p4aCia1Sy,fraud,5
"https://t.co/c2tLCekBWb ""Survival Strategies and Interior Design"" teenwolf fanfic pg-13 fluff firsttime derek/stiles domestic","teenwolf, fanfic, pg, fluff, firsttime, derek, domestic",3
TheHansIndiaWeb: Hyderabad: Rs 3.5 lakh worth gold ornaments stolen from Lalitha Jewellers Hyderabad Theft Panjagutta https://t.co/j,"Hyderabad, Theft, Panjagutta",2
"Coronavirus terrifies us, but another virus has already killed 6,000 in US - Jan 24  12:36 PM ET https://t.co/LS7YHFvAsn","virus, killed",4
"Penbedw: This Ross England rape trial sabotage sounded awful from the beginning, but reading the transcript shows HOW unbelievably aw�","rape, sabotage",1
Pandadollbaby: CBTHunting No man or woman should be allowed to murder an Elephant .GetBobbyG .josephescalia .SenSchumer .robrei,"man, woman, Elephant",4
"FieldingsPManc: Fraudster Warning From HMRCgovuk as Self-Assessment Deadline Looms 

HMRC tax fraud h","HMRC, tax, fraud",5
MensDayOutIndia: Maharashtra | Class XII boy hangs himself in Seva Dal hostel; leaves behind 18-page note giving explicit details of s,Maharashtra,3
"""Young age at abuse onset strongest predictor of disclosure delay in both adolescent and pre-adolescent females. https://t.co/CMPZuvqRkv","abuse, disclosure, adolescent",3
schestowitz: � NEWS � commondrems rape pedophili UN Pecekeeping Hs  Sexul buse Problem https://t.co/vBvk8OpR3x,"commondreams, rape, pedophilia, UN, Peacekeeping",1
NYPD13Pct: Help the 13th Precinct Detective Squad identify and locate the following individuals wanted for a Robbery in Manhattan on,"Robbery, Manhattan",2
Celebration of life scheduled for Lexington teenager killed in crash - Jan 23  11:54 PM ET https://t.co/oU4pBLXkdm,"Lexington, killed",4
"RubesCartoons: Maybe it was a cat burglar?
SLOTribune CambriaReporter 
cats yarn CatBurglar Burglary Crime Cambria","cats, yarn, CatBurglar, Burglary, Crime, Cambria",2
aimee_brimson: 4 steps that can help in your hr of need whether rape or abuse,"rape, abuse",1
meetgoogle: taslimanasreen World economy in bad shape but FakeCases Sexual Harrasment Rape industry in positive growth with Gov�,"World, economy, FakeCases, Sexual, Harrasment, Rape",1
"BeyondDefense: Order your defensekit on our site 
safety selfdefense sextraffickingawareness�","defensekit, safety, selfdefense, sextraffickingawareness",1
NAPADKE: It's astounding the number of legal challenges &amp; questions students grapple with. Our visits to 8 schools in Mandera East &amp; N�,Mandera,1
CandaceClark. Accused scammer 5 felony charges: False Impersonation of a Fed Employee 3 Felony counts of Theft / https://t.co/3SeSyMSEWk,"CandaceClark, scammer, Theft",2
"Then- 2008 elections
Now- 2020Election
Issues-
 extreme partisanship, ClimateCrisis, tax, Equality metoo/(ak https://t.co/k4Fsn0eMMH","elections, 2020Election, extreme, ClimateCrisis, tax, Equality, metoo",3
tslimnsreen World economy in bd shpe but fakeCses Sexul Harassment rape industry in positive growth w� https://t.co/YSRgOqIvvf,"World, economy, FakeCases, Sexual, Harrasment, Rape",1
